Gpu,Rating,Performance
ATI Mobility Radeon HD 3850,740,0.13
ATI Mobility Radeon HD 3870,623,0.39
ATI Mobility Radeon HD 3870 X2,434,1.66
ATI Mobility Radeon HD 4550,905,0.04
ATI Mobility Radeon HD 4570,882,0.07
ATI Mobility Radeon HD 4650,739,0.13
ATI Mobility Radeon HD 4670,705,0.25
ATI Mobility Radeon HD 4830,561,0.63
ATI Mobility Radeon HD 4850,450,1.5
ATI Mobility Radeon HD 4870,429,1.66
ATI Mobility Radeon HD 4870 X2,371,3.26
ATI Mobility Radeon HD 5145,879,0.07
ATI Mobility Radeon HD 5165,707,0.25
ATI Mobility Radeon HD 540v,906,0.04
ATI Mobility Radeon HD 5430,907,0.04
ATI Mobility Radeon HD 545v,880,0.07
ATI Mobility Radeon HD 5470,878,0.07
ATI Mobility Radeon HD 550v,733,0.13
ATI Mobility Radeon HD 560v,750,0.13
ATI Mobility Radeon HD 5650,746,0.13
ATI Mobility Radeon HD 5730,564,0.63
ATI Mobility Radeon HD 5830,502,0.93
ATI Mobility Radeon HD 5850,468,1.34
ATI Mobility Radeon HD 5870,369,3.26
ATI Mobility Radeon HD 5870 Crossfire,269,6.24
ATI Radeon E4690,920,0.04
ATI Radeon HD 2600 PRO,835,0.08
ATI Radeon HD 2600 XT,801,0.1
ATI Radeon HD 2900 GT,797,0.11
ATI Radeon HD 2900 PRO,648,0.32
ATI Radeon HD 2900 XT,635,0.34
ATI Radeon HD 3850,684,0.27
ATI Radeon HD 3850 AGP,883,0.07
ATI Radeon HD 3850 X2,755,0.13
ATI Radeon HD 3870,597,0.49
ATI Radeon HD 3870 X2,696,0.26
ATI Radeon HD 4550,826,0.09
ATI Radeon HD 4570,851,0.07
ATI Radeon HD 4650,900,0.05
ATI Radeon HD 4650 AGP,842,0.08
ATI Radeon HD 4670,678,0.28
ATI Radeon HD 4770,517,0.78
ATI Radeon HD 4810,773,0.12
ATI Radeon HD 4830,549,0.67
ATI Radeon HD 4850,528,0.73
ATI Radeon HD 4850 X2,487,1.16
ATI Radeon HD 4870,446,1.5
ATI Radeon HD 4870 X2,492,1.14
ATI Radeon HD 4890,415,2.37
ATI Radeon HD 5450,827,0.09
ATI Radeon HD 5470,811,0.1
ATI Radeon HD 5550,674,0.28
ATI Radeon HD 5570,598,0.49
ATI Radeon HD 5670,522,0.77
ATI Radeon HD 5750,437,1.66
ATI Radeon HD 5770,398,2.69
ATI Radeon HD 5830,365,3.26
ATI Radeon HD 5850,335,3.79
ATI Radeon HD 5870,305,4.9
ATI Radeon HD 5970,308,4.86
Intel HD Graphics ,782,0.12
Intel HD Graphics 2000,908,0.04
Intel HD Graphics 2500,872,0.07
Intel HD Graphics 3000,874,0.07
Intel HD Graphics 400 ,876,0.07
Intel HD Graphics 4000,864,0.07
Intel HD Graphics 405,873,0.07
Intel HD Graphics 4200,731,0.13
Intel HD Graphics 4400,703,0.25
Intel HD Graphics 4600,600,0.48
Intel HD Graphics 500,871,0.07
Intel HD Graphics 5000,563,0.63
Intel HD Graphics 505,732,0.13
Intel HD Graphics 510,702,0.25
Intel HD Graphics 515,616,0.46
Intel HD Graphics 520,720,0.23
INTEL HD GRAPHICS 540,,2.72
Intel HD Graphics 530,533,0.71
Intel HD Graphics 5300,704,0.25
Intel HD Graphics 5500,619,0.4
Intel HD Graphics 5600,716,0.23
Intel HD Graphics 6000,613,0.46
Intel HD Graphics 610,599,0.49
Intel HD Graphics 615,593,0.49
INTEL GRAPHICS 620,,0.65
Intel HD Graphics 620,554,0.65
Intel HD Graphics 630,480,1.22
Intel HD Graphics P4600,656,0.31
Intel HD Graphics P530,510,0.93
Intel HD Graphics P630,479,1.23
Intel Iris Graphics 5100,507,0.93
Intel Iris Graphics 540,394,2.72
Intel Iris Graphics 550,361,3.31
Intel Iris Graphics 6100,466,1.34
Intel Iris Plus Graphics 640,420,2.1
Intel Iris Plus Graphics 650,390,2.78
Intel Iris Plus Graphics 655,336,3.79
Intel Iris Plus Graphics G4 ,451,1.5
Intel Iris Plus Graphics G7 ,314,4.52
INTEL IRIS PRO GRAPHICS,,1.5
Intel Iris Pro Graphics 5200,421,2.1
Intel Iris Pro Graphics 580,385,2.91
Intel Iris Pro Graphics 6200,453,1.5
Intel Iris Pro Graphics P580,363,3.26
Intel UHD Graphics 600,749,0.13
Intel UHD Graphics 605,865,0.07
Intel UHD Graphics 615,562,0.63
Intel UHD Graphics 617,506,0.93
Intel UHD Graphics 620,527,0.73
Intel UHD Graphics 630,481,1.22
Intel UHD Graphics G1 ,432,1.66
NVIDIA GeForce 305M,929,0.03
NVIDIA GeForce 310M,838,0.08
NVIDIA GeForce 315M,839,0.08
NVIDIA GeForce 320M,807,0.1
NVIDIA GeForce 410M,890,0.05
NVIDIA GeForce 610M,887,0.06
NVIDIA GeForce 615,676,0.28
NVIDIA GeForce 705M,862,0.07
NVIDIA GeForce 710A,682,0.27
NVIDIA GeForce 710M,621,0.39
NVIDIA GeForce 720A,591,0.49
NVIDIA GeForce 7800 GT,853,0.07
NVIDIA GeForce 7800 GTX,830,0.08
NVIDIA GeForce 7900 GS,832,0.08
NVIDIA GeForce 7900 GT,817,0.1
NVIDIA GeForce 7900 GTX,790,0.11
NVIDIA GeForce 7950 GT,813,0.1
NVIDIA GeForce 7950 GX2,849,0.07
NVIDIA GeForce 800A,911,0.04
NVIDIA GeForce 800M,671,0.28
NVIDIA GeForce 810A,643,0.33
NVIDIA GeForce 810M,737,0.13
NVIDIA GeForce 820A,604,0.48
NVIDIA GeForce 820M,652,0.32
NVIDIA GeForce 825M,776,0.12
NVIDIA GeForce 830A,530,0.71
NVIDIA GeForce 830M,572,0.62
NVIDIA GeForce 840A,693,0.26
NVIDIA GeForce 840M,555,0.64
NVIDIA GeForce 845M,496,1
NVIDIA GeForce 8600 GT,824,0.09
NVIDIA GeForce 8600 GTS,800,0.11
NVIDIA GeForce 8700M GT,844,0.08
NVIDIA GeForce 8700M GT SLI,734,0.13
NVIDIA GeForce 8800 GS,679,0.28
NVIDIA GeForce 8800 GT,581,0.51
NVIDIA GeForce 8800 GTS 512,751,0.13
NVIDIA GeForce 8800 GTX,577,0.52
NVIDIA GeForce 8800 Ultra,774,0.12
NVIDIA GeForce 8800M GTS,858,0.07
NVIDIA GeForce 8800M GTX,681,0.28
NVIDIA GeForce 8800M GTX SLI,435,1.66
NVIDIA GeForce 910M,738,0.13
NVIDIA GEFORCE 920,,0.5
NVIDIA GeForce 920A,568,0.63
NVIDIA GeForce 920M,585,0.5
NVIDIA GeForce 920MX,520,0.77
NVIDIA GeForce 930A,514,0.92
NVIDIA GeForce 930M,546,0.68
NVIDIA GEFORCE GTX 930MX,,1.27
NVIDIA GeForce 930MX,475,1.27
NVIDIA GeForce 940A,525,0.73
NVIDIA GEFORCE GTX 940M,,0.71
NVIDIA GeForce 940M,531,0.71
NVIDIA GEFORCE GT 940MX,,1.56
NVIDIA GEFORCE GTX 940MX,,1.56
NVIDIA GeForce 940MX,439,1.56
NVIDIA GeForce 945A,422,2.1
NVIDIA GeForce 945M,425,1.71
NVIDIA GeForce 9500 GS,803,0.1
NVIDIA GeForce 9500 GT,806,0.1
NVIDIA GeForce 9600 GSO,689,0.26
NVIDIA GeForce 9600 GSO 512,744,0.13
NVIDIA GeForce 9600 GT,588,0.5
NVIDIA GeForce 9600M GS,828,0.09
NVIDIA GeForce 9600M GT,816,0.1
NVIDIA GeForce 9650M GS,809,0.1
NVIDIA GeForce 9650M GT,820,0.09
NVIDIA GeForce 9700M GT,786,0.12
NVIDIA GeForce 9700M GTS,778,0.12
NVIDIA GeForce 9800 GT,602,0.48
NVIDIA GeForce 9800 GTX,772,0.12
NVIDIA GeForce 9800 GX2,761,0.13
NVIDIA GeForce 9800M GS,677,0.28
NVIDIA GeForce 9800M GT,780,0.12
NVIDIA GeForce 9800M GT SLI,431,1.66
NVIDIA GeForce 9800M GTS,641,0.33
NVIDIA GeForce 9800M GTS SLI,445,1.5
NVIDIA GeForce 9800M GTX,688,0.26
NVIDIA GeForce 9800M GTX SLI,364,3.26
NVIDIA GeForce G210M,852,0.07
NVIDIA GeForce Go 7800 GTX,837,0.08
NVIDIA GeForce Go 7900 GTX,808,0.1
NVIDIA GeForce Go 7950 GTX,814,0.1
NVIDIA GeForce GT 1030,330,4.09
NVIDIA GeForce GT 120M,812,0.1
NVIDIA GeForce GT 130M,794,0.11
NVIDIA GeForce GT 220,894,0.05
NVIDIA GeForce GT 220M,819,0.1
NVIDIA GeForce GT 230,860,0.07
NVIDIA GeForce GT 230M,901,0.05
NVIDIA GeForce GT 240,640,0.33
NVIDIA GeForce GT 240 GDDR5,491,1.14
NVIDIA GeForce GT 240M,891,0.05
NVIDIA GeForce GT 320M,846,0.08
NVIDIA GeForce GT 325M,798,0.11
NVIDIA GeForce GT 330M,927,0.03
NVIDIA GeForce GT 335M,728,0.13
NVIDIA GeForce GT 415M,785,0.12
NVIDIA GeForce GT 420M,680,0.28
NVIDIA GeForce GT 425M,649,0.32
NVIDIA GeForce GT 430,633,0.34
NVIDIA GeForce GT 435M,628,0.34
NVIDIA GeForce GT 440,697,0.25
NVIDIA GeForce GT 445M,515,0.79
NVIDIA GeForce GT 520,926,0.03
NVIDIA GeForce GT 520M,923,0.03
NVIDIA GeForce GT 520MX,915,0.04
NVIDIA GeForce GT 525M,658,0.31
NVIDIA GeForce GT 540M,638,0.33
NVIDIA GeForce GT 545,465,1.34
NVIDIA GeForce GT 550M,594,0.49
NVIDIA GeForce GT 555M,560,0.63
NVIDIA GeForce GT 610,918,0.04
NVIDIA GeForce GT 620,909,0.04
NVIDIA GeForce GT 620M,620,0.39
NVIDIA GeForce GT 625 OEM,869,0.07
NVIDIA GeForce GT 625M,741,0.13
NVIDIA GeForce GT 630,582,0.51
NVIDIA GeForce GT 630M,608,0.47
NVIDIA GeForce GT 635M,605,0.48
NVIDIA GeForce GT 640,471,1.31
NVIDIA GeForce GT 640M,544,0.69
NVIDIA GeForce GT 640M LE,766,0.13
NVIDIA GeForce GT 645M,556,0.63
NVIDIA GeForce GT 650M,494,1.07
NVIDIA GeForce GT 650M SLI,353,3.53
NVIDIA GeForce GT 710,610,0.47
NVIDIA GeForce GT 710M,669,0.28
NVIDIA GeForce GT 720,596,0.49
NVIDIA GeForce GT 720A,634,0.34
NVIDIA GeForce GT 720M,665,0.29
NVIDIA GeForce GT 730,566,0.63
NVIDIA GeForce GT 730A,583,0.51
NVIDIA GeForce GT 730M,575,0.57
NVIDIA GeForce GT 735M,627,0.34
NVIDIA GeForce GT 740,413,2.41
NVIDIA GeForce GT 740M,765,0.13
NVIDIA GeForce GT 745A,483,1.21
NVIDIA GeForce GT 745M,540,0.7
NVIDIA GeForce GT 750M,464,1.34
NVIDIA GeForce GT 750M SLI,309,4.86
NVIDIA GeForce GT 755M,410,2.46
NVIDIA GeForce GT 755M SLI,266,6.58
NVIDIA GeForce GT 820M,603,0.48
NVIDIA GeForce GTS 160M,617,0.46
NVIDIA GeForce GTS 250,694,0.26
NVIDIA GeForce GTS 250M,622,0.39
