names,Frequency,count
Intel Core i7 5600U , 2.60GHz,4327
Intel Core i3 2140 , 3.50GHz,4325
Intel Xeon L5520 , 2.27GHz,4324
Intel Xeon X5460 , 3.16GHz,4323
Intel Core i3 3240 , 3.40GHz,4317
Intel Core i3 6100TE , 2.70GHz,4315
AMD Phenom II X4 970,,4314
Intel Core i5 4288U , 2.60GHz,4303
Intel Core i3 4350T , 3.10GHz,4302
Intel Xeon X3370 , 3.00GHz,4293
AMD Athlon X4 750K Quad Core,,4273
Intel Xeon X5698 , 4.40GHz,4272
AMD FX 4200 Quad Core,,4270
Intel Pentium G4600T , 3.00GHz,4266
AMD Phenom II X4 B70,,4261
AMD PRO A12 8830B,,4259
Intel Core i5 3340M , 2.70GHz,4250
Intel Core i3 3220 , 3.30GHz,4247
Intel Core i7 5650U , 2.20GHz,4242
Intel Core i3 4150T , 3.00GHz,4227
Intel Core i5 8210Y , 1.60GHz,4227
Intel Core i5 2390T , 2.70GHz,4223
Intel Core i5 4308U , 2.80GHz,4219
AMD A10 5700 APU,,4214
Intel Core i5 4210M , 2.60GHz,4209
AMD FX 8800P,,4199
Intel Core i3 6100H , 2.70GHz,4188
Intel Xeon E5 2407 , 2.20GHz,4188
AMD Opteron 3350 HE,,4186
Intel Pentium G4520 , 3.60GHz,4184
Intel Xeon E5450 , 3.00GHz,4179
AMD Phenom II X4 965,,4177
AMD Phenom II X4 B65,,4172
AMD FX 4130 Quad Core,,4162
Intel Core2 Extreme X9650 , 3.00GHz,4157
Intel Core2 Quad Q9650 , 3.00GHz,4154
Intel Core i3 4130T , 2.90GHz,4152
Intel Core i5 6198DU , 2.30GHz,4149
Intel Core i7 3687U , 2.10GHz,4136
Intel Core i5 3320M , 2.60GHz,4132
AMD Phenom II X4 B99,,4126
AMD Athlon II X4 559,,4125
AMD PRO A12 8800B,,4111
Intel Xeon X5450 , 3.00GHz,4106
Intel Core i7 4600U , 2.10GHz,4103
AMD PRO A12 9800B,,4095
Intel Core i5 4258U , 2.40GHz,4093
Intel Xeon E5472 , 3.00GHz,4085
AMD FX 4100 Quad Core,,4076
Intel Core i3 2130 , 3.40GHz,4072
Intel Core i3 7130U , 2.70GHz,4062
AMD FX 7600P,,4050
AMD A8 5500B APU,,4045
Intel Core i3 3210 , 3.20GHz,4044
Intel Core i5 4200M , 2.50GHz,4037
AMD Phenom II X4 B60,,4032
AMD Athlon X4 740 Quad Core,,4031
Intel Core i3 2125 , 3.30GHz,4015
Intel Core i5 6200U , 2.30GHz,4010
Intel Xeon X5472 , 3.00GHz,4001
AMD A8 5500 APU,,3998
AMD A12 9720P,,3994
Intel Pentium G4560T , 2.90GHz,3990
Intel Xeon X3363 , 2.83GHz,3982
Intel Core i7 5500U , 2.40GHz,3980
Intel Core i7 3667U , 2.00GHz,3974
Intel Core i7 3555LE , 2.50GHz,3966
AMD PRO A8 9600B,,3964
Intel Core2 Quad Q9550 , 2.83GHz,3962
AMD FX 9800P,,3956
Intel Xeon E5440 , 2.83GHz,3955
AMD PRO A10 8730B,,3953
Intel Core i7 4650U , 1.70GHz,3950
Intel Core2 Quad Q9705 , 3.16GHz,3947
Intel Core i5 4402E , 1.60GHz,3947
AMD Phenom Ultra X4 24500,,3945
Intel Core i7 8500Y , 1.50GHz,3945
Intel Core i5 3230M , 2.60GHz,3945
Intel Xeon L3426 , 1.87GHz,3943
Intel Core i5 760 , 2.80GHz,3935
Intel Core i3 2120 , 3.30GHz,3932
Intel Core i5 3610ME , 2.70GHz,3929
Intel Xeon X3360 , 2.83GHz,3925
Intel Core i7 2640M , 2.80GHz,3924
Intel Core i7 940XM , 2.13GHz,3921
AMD Phenom II X4 955,,3916
Intel Core i7 4510U , 2.00GHz,3916
Intel Xeon E5462 , 2.80GHz,3872
AMD Phenom II X4 B97,,3868
Intel Pentium G3258 , 3.20GHz,3865
Intel Core i3 21050 , 3.10GHz,3862
Intel Core i3 4110M , 2.60GHz,3854
AMD Phenom II X4 B55,,3853
Intel Xeon X3353 , 2.66GHz,3853
Intel Core i7 5550U , 2.00GHz,3851
Intel Core i5 5300U , 2.30GHz,3842
Intel Core i7 2620M , 2.70GHz,3842
Intel Xeon L7455 , 2.13GHz,3836
AMD Athlon II X4 555,,3830
Intel Core i5 3210M , 2.50GHz,3828
Intel Core i5 4570TE , 2.70GHz,3827
Intel Core i3 6157U , 2.40GHz,3826
Intel Xeon X3350 , 2.66GHz,3820
AMD Athlon II X4 553,,3814
AMD Opteron 8439 SE,,3813
Intel Pentium D1508 , 2.20GHz,3813
Intel Core i7 3537U , 2.00GHz,3810
Intel Pentium G4500 , 3.50GHz,3792
Intel Core i7 4500U , 1.80GHz,3786
Intel Core i5 4310U , 2.00GHz,3782
Intel Core i5 2540M , 2.60GHz,3781
AMD Phenom II X4 960T,,3772
Intel Core i3 6100E , 2.70GHz,3769
Intel Atom C2750 , 2.40GHz,3768
Intel Xeon E5 2603 v2 , 1.80GHz,3766
AMD A10 9600P,,3766
Intel Xeon L3360 , 2.83GHz,3764
Intel Core i3 7100U , 2.40GHz,3761
AMD Phenom II X4 973,,3759
Intel Core2 Quad Q9450 , 2.66GHz,3757
Intel Core i5 2560M , 2.70GHz,3752
Intel Xeon E5430 , 2.66GHz,3751
AMD Phenom II X4 977,,3750
Intel Core i7 4610Y , 1.70GHz,3746
Intel Core i5 4300U , 1.90GHz,3739
Intel Core i7 7Y75 , 1.30GHz,3738
Intel Core i3 2102 , 3.10GHz,3736
Intel Core m3 8100Y , 1.10GHz,3731
Intel Core i7 920XM , 2.00GHz,3724
Intel Core i5 750 , 2.67GHz,3719
Intel Xeon L5506 , 2.13GHz,3715
Intel Pentium G3470 , 3.60GHz,3714
Intel Xeon L5430 , 2.66GHz,3712
AMD A12 9700P,,3712
Intel Core i3 2105 , 3.10GHz,3712
AMD A10 6700T APU,,3705
AMD Phenom II X4 B50,,3696
Intel Pentium G3450 , 3.40GHz,3695
Intel Core i3 3220T , 2.80GHz,3693
Intel Core i3 2100 , 3.10GHz,3692
AMD A10 9620P,,3679
AMD Phenom II X4 B95,,3676
Intel Core i5 7Y57 , 1.20GHz,3676
Intel Core i7 4550U , 1.50GHz,3676
Intel Core i3 5157U , 2.50GHz,3670
Intel Core i3 3240T , 2.90GHz,3666
AMD Opteron 4170 HE,,3664
Intel Core2 Extreme Q6800 , 2.93GHz,3655
AMD Phenom II X4 945,,3652
Intel Core i5 3437U , 1.90GHz,3628
Intel Core2 Extreme Q6850 , 3.00GHz,3622
AMD Phenom FX 7750 Quad Core,,3616
Intel Core i3 3250T , 3.00GHz,3614
Intel Core i5 4350U , 1.40GHz,3610
Intel Xeon E3 1220L , 2.20GHz,3606
AMD A10 7400P,,3606
Intel Core i3 6100U , 2.30GHz,3604
AMD Phenom II X4 840T,,3597
Intel Core i5 2520M , 2.50GHz,3593
Intel Xeon E5 2603 , 1.80GHz,3591
Intel Core i5 5250U , 1.60GHz,3590
AMD Phenom II X4 940,,3590
Intel Xeon E5 2403 v2 , 1.80GHz,3590
Intel Pentium G3460 , 3.50GHz,3584
Intel Core i5 4260U , 1.40GHz,3580
AMD Athlon II X4 651 Quad Core,,3575
Intel Core i5 3427U , 1.80GHz,3549
AMD Phenom II X4 850,,3547
AMD PRO A10 8700B,,3542
Intel Core i5 7Y54 , 1.20GHz,3542
Intel Core i7 3517U , 1.90GHz,3540
Intel Pentium G4400 , 3.30GHz,3540
AMD Opteron 2384,,3538
AMD Opteron 2386 SE,,3538
AMD A8 3870K APU,,3537
Intel Xeon X5365 , 3.00GHz,3524
Intel Xeon E5 2403 , 1.80GHz,3523
Intel Core m3 7Y30 , 1.00GHz,3521
Intel Core2 Quad Q9500 , 2.83GHz,3521
Intel Core i3 7020U , 2.30GHz,3520
Intel Core2 Quad Q9505 , 2.83GHz,3520
Intel Core i5 5350U , 1.80GHz,3520
AMD PRO A8 8600B,,3518
Intel Core i5 680 , 3.60GHz,3513
AMD Phenom II X4 840,,3508
Intel Celeron G4930 , 3.20GHz,3503
Intel Xeon L5420 , 2.50GHz,3501
Intel Core i5 5200U , 2.20GHz,3497
AMD Phenom II 42 TWKR Black Edition,,3489
Intel Core i5 2510E , 2.50GHz,3483
AMD Athlon II X4 650,,3482
Intel Xeon E5420 , 2.50GHz,3482
Intel Pentium G4500T , 3.00GHz,3471
Intel Core m7 6Y75 , 1.20GHz,3470
AMD Phenom II X4 B45,,3470
AMD Athlon II X4 645,,3466
AMD A8 3850 APU,,3458
Intel Core2 Extreme Q9300 , 2.53GHz,3457
Quad Core AMD Opteron 1389,,3446
Quad Core AMD Opteron 1385,,3442
AMD A10 8700P,,3441
AMD Phenom II X4 830,,3434
Intel Core i3 4100M , 2.50GHz,3432
Intel Core i7 840QM , 1.87GHz,3412
AMD Phenom II X4 925,,3411
Intel Core i5 4210U , 1.70GHz,3403
Intel Core i5 2450M , 2.50GHz,3402
Intel Xeon X3230 , 2.66GHz,3397
Intel Pentium G3420 , 3.20GHz,3396
